Player,Pos,Tm,Salary
Will Richardson\RichWi01,OT,JAX,$750000
Gus Edwards\EdwaGu00,RB,BAL,$750000
Sam Darnold\DarnSa00,QB,NYJ,$750000
Orlando Brown Jr.\BrowOr00,OT,BAL,$750000
Corn Elder\EldeCo00,CB,CAR,$750000
Aaron Stinnie\StinAa00,G,TAM,$750000
Ifeadi Odenigbo\OdenIf00,DE,MIN,$750000
Taron Johnson\JohnTa01,CB,BUF,$750000
Stephen Anderson\AndeSt01,TE,LAC,$750000
Kenny Young\YounKe03,LB,LAR,$750000
Troy Apke\ApkeTr00,S,WAS,$750000
Dennis Gardeck\GardDe01,LB,ARI,$750000
Tyler Conklin\ConkTy00,TE,MIN,$750000
Michael Dickson\DickMi00,P,SEA,$750000
Nick Mullens\MullNi00,QB,SFO,$750000
Tim Boyle\BoylTi00,QB,GNB,$750000
Damion Ratley\RatlDa00,WR,NYG,$750000
Charvarius Ward\WardCh01,DB,KAN,$750000
Will Redmond\RedmWi00,CB,GNB,$750000
Zach Pascal\PascZa00,WR,IND,$750000
Tre'Quan Smith\SmitTr03,WR,NOR,$750000
Evan Brown\BrowEv00,C,2TM,$750000
Deadrin Senat\SenaDe00,DT,ATL,$750000
Mo Alie-Cox\AlieMo00,TE,IND,$750000
Jaydon Mickens\MickJa01,WR,TAM,$750000
Darius Phillips\PhilDa02,CB,CIN,$750000
Joseph Noteboom\NoteJo00,OT,LAR,$750000
Dorian O'Daniel\ODanDo00,OLB,KAN,$750000
Andrew Wylie\WyliAn00,T,KAN,$750000
Zach Sieler\SielZa00,DE,MIA,$750000
Tre Herndon\HernTr00,CB,JAX,$750000
Tae Davis\DaviTa00,LB,CLE,$750000
Tarvarius Moore\MoorTa00,S,SFO,$750000
DaeSean Hamilton\HamiDa01,WR,DEN,$750000
Foyesade Oluokun\OluoFo00,S,ATL,$750000
Matt Dickerson\DickMa00,DE,TEN,$750000
Logan Cooke\CookLo00,P,JAX,$750000
Auden Tate\TateAu00,WR,CIN,$750000
Will Dissly\DissWi00,TE,SEA,$750000
Ito Smith\SmitIt00,RB,ATL,$750000
Jaylen Samuels\SamuJa00,RB,PIT,$750000
Daniel Carlson\CarlDa00,K,LVR,$750000
Keion Crossen\CrosKe00,CB,HOU,$750000
Marcell Harris\HarrMa03,S,SFO,$750000
Durham Smythe\SmytDu00,TE,MIA,$750000
Boston Scott\ScotBo02,RB,PHI,$750000
Quenton Nelson\NelsQu00,OG,IND,$750000
Poona Ford\FordPo00,DT,SEA,$750000
Alexander Johnson\JohnAl01,LB,DEN,$750000
Chad Beebe\BeebCh00,WR,MIN,$750000
Pat O'Connor\OConPa00,DE,TAM,$750000
Kyzir White\WhitKy00,S,LAC,$750000
Trent Sieg\SiegTr00,LS,LVR,$750000
Chris Herndon\HernCh00,TE,NYJ,$750000
Isaac Yiadom\YiadIs00,CB,NYG,$750000
Harvey Langi\LangHa00,ILB,NYJ,$750000
Josh Sweat\SweaJo00,DE,PHI,$750000
Dorance Armstrong Jr.\ArmsDo00,DE,DAL,$750000
J.C. Jackson\JackJ.00,DB,NWE,$750000
Da'Shawn Hand\HandDa00,DE,DET,$750000
Shaun Dion Hamilton\DionSh00,LB,WAS,$750000
Wyatt Teller\TellWy00,OG,CLE,$750000
Sebastian Joseph\JoseSe00,DT,LAR,$750000
Craig James\JameCr01,CB,PHI,$750000
Cordrea Tankersley\TankCo00,CB,MIN,$749000
Drew Sample\SampDr00,TE,CIN,$745286
Miles Sanders\SandMi01,RB,PHI,$738647
David Sharpe\SharDa02,OT,WAS,$735000
Joshua Dobbs\DobbJo00,QB,PIT,$735000
Ryan Glasgow\GlasRy00,DT,NOR,$735000
Danny Isidora\IsidDa00,OG,KAN,$735000
Matt Pryor\PryoMa00,OT,PHI,$732353
Lonnie Johnson Jr.\JohnLo01,CB,HOU,$731575
James Ferentz\FereJa00,C,NWE,$727941
Max Scharping\SchaMa01,OT,HOU,$725368
Mecole Hardman\HardMe00,WR,KAN,$722048
JJ Arcega-Whiteside\ArceJJ00,WR,PHI,$720056
Trysten Hill\HillTr00,DL,DAL,$716362
Parris Campbell\CampPa00,WR,IND,$712088
Nasir Adderley\AddeNa00,S,LAC,$710096
Taylor Rapp\RappTa00,S,LAR,$707441
Kamalei Correa\CorrKa00,OLB,2TM,$705888
Mason Schreck\SchrMa00,TE,CIN,$705888
Pharaoh Brown\BrowPh01,TE,HOU,$705888
Jerald Hawkins\HawkJe00,OT,PIT,$705888
Le'Veon Bell\BellLe00,RB,2TM,$705882
Kalen Ballage\BallKa00,RB,2TM,$705882
Andy Isabella\IsabAn00,WR,ARI,$705450
Juan Thornhill\ThorJu00,S,KAN,$704785
D.K. Metcalf\MetcDK00,WR,SEA,$703457
KhaDarel Hodge\HodgKh00,WR,CLE,$697059
Levi Wallace\WallLe00,CB,BUF,$697059
Carl Davis\DaviCa01,DT,NWE,$695882
James Hurst\HursJa00,OT,NOR,$695882
Jonathan Bullard\BullJo00,DE,SEA,$695882
Jamar Taylor\TaylJa01,CB,SFO,$695882
Ken Crawley\CrawKe02,DB,NOR,$695882
DeAndre Washington\WashDe00,RB,2TM,$695882
Joshua Garnett\GarnJo00,OG,WAS,$695882
Eric Tomlinson\TomlEr01,TE,2TM,$695882
Caraun Reid\ReidCa00,DT,JAX,$695877
Zach Allen\AlleZa01,DL,ARI,$690171
Diontae Johnson\JohnDi01,WR,PIT,$689589
Darrell Henderson\HendDa00,RB,LAR,$686916
Dre'Mont Jones\JoneDr00,DL,DEN,$685400
Germaine Pratt\PratGe00,LB,CIN,$684555
David Montgomery\MontDa01,RB,CHI,$684136
Terry McLaurin\McLaTe00,WR,WAS,$681451
Chase Winovich\WinoCh00,EDGE,NWE,$681000
Michael Deiter\DeitMi00,OL,MIA,$680328
Richie James\JameRi00,WR,SFO,$679416
Jared Norris\NorrJa00,ILB,WAS,$679412
Margus Hunt\HuntMa00,DE,2TM,$679412
Justin Jones\JoneJu03,DT,LAC,$679412
Austin Calitro\CaliAu00,LB,DEN,$679412
Jabaal Sheard\SheaJa00,DL,2TM,$679412
Alex Redmond\RedmAl01,G,CIN,$679412
David Long\LongDa02,CB,LAR,$677776
Xavier Crawford\CrawXa00,CB,CHI,$675000
Cody Barton\BartCo00,LB,SEA,$675000
Trace McSorley\McSoTr00,QB,BAL,$675000
Diontae Spencer\SpenDi00,WR,DEN,$675000
Jakobi Meyers\MeyeJa01,WR,NWE,$675000
Nsimba Webster\WebsNs00,WR,LAR,$675000
D'Ernest Johnson\JohnDE04,RB,CLE,$675000
Storm Norton\NortSt00,OT,LAC,$675000
Micah Kiser\KiseMi00,ILB,LAR,$675000
Easton Stick\SticEa00,QB,LAC,$675000
Jakob Johnson\JohnJa12,FB,NWE,$675000
Duke Shelley\ShelDu00,CB,CHI,$675000
Jacob Tuioti-Mariner\TuioJa00,DT,ATL,$675000
Kentavius Street\StreKe00,DT,SFO,$675000
Nate Herbig\HerbNa01,G,PHI,$675000
Shy Tuttle\TuttSh00,DL,NOR,$675000
Patrick Laird\LairPa00,RB,MIA,$675000
Khari Blasingame\BlasKh00,RB,TEN,$675000
Jason Moore\MoorJa02,WR,LAC,$675000
Patrick Morris\MorrPa00,C,DEN,$675000
Joey Slye\SlyeJo00,K,CAR,$675000
T.J. Hockenson\HockTJ00,TE,DET,$675000
Sam Ficken\FickSa00,K,NYJ,$675000
Trayveon Williams\WillTr06,RB,CIN,$675000
Chandler Cox\CoxxCh01,RB,MIA,$675000
Andre James\JameAn01,T,LVR,$675000
Cedrick Wilson Jr.\WilsCe01,WR,DAL,$675000
Amani Hooker\HookAm00,S,TEN,$675000
Mack Wilson\WilsMa03,LB,CLE,$675000
Kingsley Keke\KekeKi00,DL,GNB,$675000
Dennis Daley\DaleDe00,OL,CAR,$675000
Marcus Kemp\KempMa00,WR,2TM,$675000
E.J. Speed\SpeeEJ00,LB,IND,$675000
Jaeden Graham\GrahJa01,TE,ATL,$675000
Chuma Edoga\EdogCh00,OL,NYJ,$675000
Darryl Johnson\JohnDa10,DE,BUF,$675000
Riley Ridley\RidlRi00,WR,CHI,$675000
Josh Woods\WoodJo02,LB,CHI,$675000
Samuel Eguavoen\EguaSa00,LB,MIA,$675000
Jaquan Johnson\JohnJa11,CB,BUF,$675000
Daniel Brunskill\BrunDa00,OT,SFO,$675000
Azeez Al-Shaair\AlShAz00,LB,SFO,$675000
Calvin Anderson\AndeCa00,T,DEN,$675000
Rico Gafford\GaffRi00,WR,LVR,$675000
Nate Davis\DaviNa01,OL,TEN,$675000
Ben Burr-Kirven\BurrBe00,LB,SEA,$675000
Bobby Evans\EvanBo00,OL,LAR,$675000
John Cominsky\ComiJo00,DE,ATL,$675000
Qadree Ollison\OlliQa00,RB,ATL,$675000
Jamarco Jones\JoneJa08,OT,SEA,$675000
Kris Boyd\BoydKr00,CB,MIN,$675000
Jamie Gillan\GillJa00,P,CLE,$675000
Kyler Murray\MurrKy00,QB,ARI,$675000
Travis Homer\HomeTr00,RB,SEA,$675000
Alex Bars\BarsAl01,T,CHI,$675000
Anthony Nelson\NelsAn01,DL,TAM,$675000
Josh Watson\WatsJo00,LB,DEN,$675000
Mitch Wishnowsky\WishMi00,P,SFO,$675000
Emeke Egbule\EgbuEm00,LB,LAC,$675000
Coleman Shelton\ShelCo00,C,LAR,$675000
Trey Pipkins\PipkTr00,OT,LAC,$675000
Bryan Mone\MoneBr00,DT,SEA,$675000
Christian Blake\BlakCh00,WR,ATL,$675000
Olamide Zaccheaus\ZaccOl01,WR,ATL,$675000
Dan Skipper\SkipDa00,OT,DET,$675000
Ryan Connelly\ConnRy00,LB,MIN,$675000
Sione Takitaki\TakiSi00,LB,CLE,$675000
Darius Slayton\SlayDa01,WR,NYG,$675000
Dru Samia\SamiDr00,OL,MIN,$675000
Cullen Gillaspia\GillCu00,RB,HOU,$675000
Calvin Munson\MunsCa00,OLB,MIA,$675000
Cody Hollister\HollCo00,WR,TEN,$675000
Greg Ward\WardGr02,WR,PHI,$675000
J.P. Holtz\HoltJ.01,TE,CHI,$675000
Ryan Nall\NallRy00,RB,CHI,$675000
Jalen Thompson\ThomJa04,,ARI,$675000
Nik Needham\NeedNi00,DB,MIA,$675000
David Long\LongDa04,LB,TEN,$675000
Andrew Brown\BrowAn05,DE,2TM,$675000
Nick Scott\ScotNi01,S,LAR,$675000
Mike Edwards\EdwaMi01,S,TAM,$675000
Jace Sternberger\SterJa00,TE,GNB,$675000
Isaiah Johnson\JohnIs02,CB,LVR,$675000
Raven Greene\GreeRa02,S,GNB,$675000
Devin White\WhitDe02,LB,TAM,$675000
KeeSean Johnson\JohnKe07,WR,ARI,$675000
Isaiah Buggs\BuggIs00,DL,PIT,$675000
Kaden Elliss\ElliKa00,LB,NOR,$675000
Ty Johnson\JohnTy02,RB,2TM,$675000
Jordan Simmons\SimmJo00,G,SEA,$675000
Ben Powers\PoweBe00,OL,BAL,$675000
Jalen Guyton\GuytJa01,WR,LAC,$675000
Bobby Okereke\OkerBo00,LB,IND,$675000
Devin Singletary\SingDe00,RB,BUF,$675000
Jimmy Moreland\MoreJi00,CB,WAS,$675000
James Vaughters\VaugJa01,LB,CHI,$675000
Justice Hill\HillJu00,RB,BAL,$675000
Jaylon Ferguson\FergJa02,DE,BAL,$675000
Michael Jordan\JordMi01,OL,CIN,$675000
Deonte Harris\HarrDe07,WR,NOR,$675000
Brandon Watson\WatsBr01,DB,JAX,$675000
Austin Cutting\CuttAu00,LS,MIN,$675000
Benny Snell Jr.\SnelBe00,,PIT,$675000
Patrick Mekari\MekaPa00,G,BAL,$675000
Dakota Allen\AlleDa01,LB,JAX,$675000
Fred Johnson\JohnFr01,G,CIN,$675000
Kendall Sheffield\ShefKe00,CB,ATL,$675000
Zach Triner\TrinZa00,LS,TAM,$675000
Porter Gustin\GustPo01,LB,CLE,$675000
C.J. Moore\MoorCJ01,DB,DET,$675000
Alex Singleton\SingAl00,LB,PHI,$675000
Byron Pringle\PrinBy00,WR,KAN,$675000
Foster Moreau\MoreFo00,TE,LVR,$675000
Daniel Jones\JoneDa05,QB,NYG,$675000
Charles Omenihu\OmenCh00,DL,HOU,$675000
Zach Gentry\GentZa00,TE,PIT,$675000
Shaq Calhoun\CalhSh01,G,CIN,$675000
Cole Holcomb\HolcCo00,LB,WAS,$675000
Stephen Carlson\CarlSt00,TE,CLE,$675000
Sheldrick Redwine\RedwSh00,S,CLE,$675000
Deionte Thompson\ThomDe06,S,ARI,$675000
Jamal Perry\WiltJo01,DB,MIA,$675000
Keisean Nixon\NixoKe00,CB,LVR,$675000
Nick Allegretti\AlleNi00,G,KAN,$675000
Scott Miller\MillSc01,WR,TAM,$675000
Ross Pierschbacher\PierRo00,OL,PHI,$675000
Wes Martin\MartWe00,G,WAS,$675000
Chris Lammons\LammCh00,DB,KAN,$675000
Jamel Dean\DeanJa00,CB,TAM,$675000
Nick Gates\GateNi00,OT,NYG,$675000
Emmanuel Moseley\MoseEm00,CB,SFO,$675000
Justin Layne\LaynJu00,CB,PIT,$675000
Joe Jackson\JackJo02,EDGE,CLE,$675000
Amani Oruwariye\OruwAm00,CB,DET,$675000
Quinnen Williams\WillQu00,DL,NYJ,$675000
Jake Bailey\BailJa00,P,NWE,$675000
Austin Schlottmann\SchlAu00,G,DEN,$675000
Troy Reeder\ReedTr01,LB,LAR,$675000
Hunter Renfrow\RenfHu00,WR,LVR,$675000
David Edwards\EdwaDa01,OL,LAR,$675000
Marcus Allen\AlleMa03,S,PIT,$675000
Ethan Greenidge\GreeEt00,OL,NOR,$675000
Jordan Mailata\MailJo00,T,PHI,$675000
Alec Ingold\IngoAl01,FB,LVR,$675000
Tony Pollard\PollTo00,RB,DAL,$675000
Greg Gaines\GainGr00,DL,LAR,$675000
Marcus Epps\EppsMa00,S,PHI,$675000
Chauncey Gardner-Johnson\GardCh00,S,NOR,$675000
Alexander Mattison\MattAl01,RB,MIN,$675000
Reggie Bonnafon\BonnRe00,RB,CAR,$675000
Cole Mazza\MazzCo01,LS,LAC,$675000
Luke Gifford\GiffLu00,LB,DAL,$675000
Rashad Fenton\FentRa00,CB,KAN,$675000
Ryan Finley\FinlRy00,QB,CIN,$675000
Ka'dar Hollman\HollKa00,CB,GNB,$675000
Corey Ballentine\BallCo00,CB,2TM,$675000
Donovan Wilson\WilsDo01,S,DAL,$675000
Darwin Thompson\ThomDa06,RB,KAN,$675000
Malik Reed\ReedMa01,LB,DEN,$675000
Cortez Broughton\BrouCo00,DL,LAC,$675000
Will Harris\HarrWi02,S,DET,$675000
Nate Meadors\MeadNa00,DB,MIN,$675000
Armon Watts\WattAr01,DL,MIN,$675000
Julian Love\LoveJu00,CB,NYG,$675000
Robert Spillane\SpilRo00,LB,PIT,$675000
Carl Granderson\GranCa01,DE,NOR,$675000
Yosuah Nijman\NijmYo01,T,GNB,$675000
Kyle Allen\AlleKy00,QB,WAS,$675000
Dre Greenlaw\GreeDr00,LB,SFO,$675000
Jarrett Stidham\StidJa00,QB,NWE,$675000
Derick Roberson\RobeDe01,DE,TEN,$675000
Ugo Amadi\AmadUg00,S,SEA,$675000
Steven Mitchell\MitcSt02,WR,HOU,$675000
Olabisi Johnson\JohnOl00,WR,MIN,$675000
Dare Ogunbowale\OgunDa00,RB,JAX,$675000
Lamont Gaillard\GailLa00,OL,ARI,$675000
Ty Summers\SummTy00,LB,GNB,$675000
Andrew Van Ginkel\VanGAn00,LB,MIA,$675000
Justin Skule\SkulJu00,OT,SFO,$675000
Khari Willis\WillKh00,S,IND,$675000
Blessuan Austin\AustBl00,CB,NYJ,$675000
Miles Boykin\BoykMi00,WR,BAL,$675000
Kaden Smith\SmitKa00,TE,NYG,$675000
Javon Wims\WimsJa00,WR,CHI,$661770
Tremon Smith\SmitTr04,,IND,$661770
Malik Jefferson\JeffMa00,OLB,LAC,$661770
Kyle Fuller\FullKy01,C,SEA,$661770
Daniel Ross\RossDa02,DT,2TM,$661769
Vyncint Smith\SmitVy00,WR,NYJ,$661767
Ryan Lewis\LewiRy01,DB,NYG,$661765
Jordan Thomas\ThomJo05,TE,2TM,$661765
Hardy Nickerson\NickHa02,ILB,MIN,$661765
C.J. Prosise\ProsC.00,RB,HOU,$661765
Jeremy McNichols\McNiJe00,RB,TEN,$661765
Josh Malone\MaloJo00,WR,NYJ,$661765
Kevin Toliver\ToliKe00,DB,DEN,$660000
Eric Smith\SmitEr00,OG,DAL,$660000
D.J. Reed\ReedD.00,CB,SEA,$660000
Troy Fumagalli\FumaTr00,TE,DEN,$660000
Woodrow Hamilton\HamiWo00,DL,CAR,$660000
Jamal Carter\CartJa02,S,ATL,$660000
Natrell Jamerson\JameNa00,FS,CAR,$660000
Garrett Gilbert\GilbGa01,QB,DAL,$660000
Jaleel Scott\ScotJa02,WR,NYJ,$660000
Chad Wheeler\WheeCh00,OT,SEA,$660000
Deante Burton\BurtDe00,WR,DAL,$660000
Garrett Griffin\GrifGa00,TE,NOR,$660000
Kahale Warring\WarrKa00,TE,HOU,$658252
Connor McGovern\McGoCo01,OL,DAL,$657000
Byron Cowart\CowaBy00,DL,NWE,$645588
Mike Ford\FordMi01,CB,DET,$644120
Matthew Adams\AdamMa00,LB,IND,$644118
Rasheem Green\GreeRa01,DT,SEA,$644118
Ross Cockrell\CockRo00,CB,TAM,$642353
Kyle Emanuel\EmanKy00,OLB,2TM,$642353
Xavier Williams\WillXa00,DT,2TM,$642353
Daurice Fountain\FounDa00,WR,IND,$635296
Austin Seibert\SeibAu00,K,2TM,$635296
Damien Harris\HarrDa06,RB,NWE,$630882
Deon Lacey\LaceDe00,LB,BUF,$630882
Taywan Taylor\TaylTa00,WR,CLE,$630882
Gunner Olszewski\OlszGu00,WR,NWE,$630882
Dontrell Hilliard\HillDo00,RB,2TM,$617652
Shaquem Griffin\GrifSh01,OLB,SEA,$617647
Taybor Pepper\PeppTa00,LS,SFO,$617647
Equanimeous St. Brown\St.BEq00,WR,GNB,$616176
Quincy Williams\WillQu01,,JAX,$616176
Steven Sims\SimsSt00,WR,WAS,$616176
Khalid Kareem\KareKh00,DL,CIN,$610000
Joe Reed\ReedJo03,WR,LAC,$610000
Donovan Peoples-Jones\PeopDo00,WR,CLE,$610000
Matt Nelson\NelsMa00,T,DET,$610000
DeeJay Dallas\DallDe00,RB,SEA,$610000
Derrick Brown\BrowDe05,DL,CAR,$610000
Bryan Edwards\EdwaBr01,WR,LVR,$610000
Solomon Kindley\KindSo00,OL,MIA,$610000
Mekhi Becton\BectMe00,OL,NYJ,$610000
Logan Woodside\WoodLo00,QB,TEN,$610000
Justin Madubuike\MaduJu00,DL,BAL,$610000
Chase Claypool\ClayCh01,WR,PIT,$610000
Isaiah Wright\WrigIs01,WR,WAS,$610000
Raekwon Davis\DaviRa03,DL,MIA,$610000
Joe Burrow\BurrJo01,QB,CIN,$610000
John Simpson\SimpJo00,OL,LVR,$610000
Jeff Okudah\OkudJe00,CB,DET,$610000
Arlington Hambright\HambAr00,OT,CHI,$610000
Jonathan Garvin\GarvJo00,DL,GNB,$610000
Ben DiNucci\DiNuBe00,QB,DAL,$610000
Doug Costin\CostDo00,DT,JAX,$610000
Reggie Gilliam\GillRe00,TE,BUF,$610000
Larrell Murchison\MurcLa00,DL,TEN,$610000
K'Von Wallace\WallKV00,S,PHI,$610000
Jeff Gladney\GladJe00,CB,MIN,$610000
Colin Thompson\ThomCo03,TE,CAR,$610000
Jordyn Brooks\BrooJo01,LB,SEA,$610000
Ben Bartch\BartBe00,OL,JAX,$610000
McTelvin Agim\AgimMc00,DL,DEN,$610000
Jerry Jeudy\JeudJe00,WR,DEN,$610000
Vernon Scott\ScotVe00,S,GNB,$610000
Zack Baun\BaunZa00,LB,NOR,$610000
Malcolm Perry\PerrMa00,WR,MIA,$610000
Leki Fotu\FotuLe00,DL,ARI,$610000
Sam Franklin\FranSa00,OLB,CAR,$610000
Ashtyn Davis\DaviAs00,S,NYJ,$610000
Braden Mann\MannBr01,P,NYJ,$610000
Chris Streveler\StreCh00,QB,ARI,$610000
Noah Igbinoghene\IgbiNo00,CB,MIA,$610000
Tyler Biadasz\BiadTy00,OL,DAL,$610000
Alton Robinson\RobiAl03,DL,SEA,$610000
Justin Herbert\HerbJu00,QB,LAC,$610000
Rodrigo Blankenship\BlanRo03,K,IND,$610000
Sam Sloman\SlomSa00,K,2TM,$610000
AJ Dillon\DillAJ00,RB,GNB,$610000
Marquez Callaway\CallMa01,WR,NOR,$610000
Ben Bredeson\BredBe00,OL,BAL,$610000
Logan Wilson\WilsLo00,LB,CIN,$610000
Nick Keizer\KeizNi00,TE,KAN,$610000
Stantley Thomas-Oliver\ThomSt00,CB,CAR,$610000
Cam Brown\BrowCa01,LB,NYG,$610000
Marcus Baugh\BaugMa02,TE,WAS,$610000
Noah Togiai\TogiNo00,TE,IND,$610000
Akeem Davis-Gaither\DaviAk01,LB,CIN,$610000
Casey Toohill\ToohCa00,LB,2TM,$610000
Robert Hunt\HuntRo01,OL,MIA,$610000
Quinton Bell\BellQu00,DE,TAM,$610000
Gabriel Davis\DaviGa01,WR,BUF,$610000
Tyler Davis\DaviTy02,TE,JAX,$610000
Freddie Swain\SwaiFr00,WR,SEA,$610000
John Hightower\HighJo00,WR,PHI,$610000
Ke'Shawn Vaughn\VaugKe00,RB,TAM,$610000
K.J. Hill\HillKJ00,WR,LAC,$610000
KJ Hamler\HamlKJ00,WR,DEN,$610000
Michael Onwenu\OnweMi00,OL,NWE,$610000
Trevon Diggs\DiggTr00,CB,DAL,$610000
Davion Taylor\TaylDa01,LB,PHI,$610000
Randy Ramsey\RamsRa00,LB,GNB,$610000
Kevin Givens\GiveKe01,DT,SFO,$610000
Andrew Thomas\ThomAn02,OL,NYG,$610000
Van Jefferson\JeffVa00,WR,LAR,$610000
John Reid\ReidJo00,CB,HOU,$610000
Joshua Kelley\KellJo01,RB,LAC,$610000
K'Lavon Chaisson\ChaiKL00,LB,JAX,$610000
J.C. Hassenauer\HassJ.00,C,PIT,$610000
Jake Luton\LutoJa00,QB,JAX,$610000
D.J. Wonnum\WonnDJ00,DL,MIN,$610000
Amik Robertson\RobeAm00,CB,LVR,$610000
C.J. Henderson\HendCJ00,CB,JAX,$610000
Jacob Phillips\PhilJa01,LB,CLE,$610000
Tremayne Anchrum\AnchTr00,OL,LAR,$610000
Danny Pinter\PintDa00,OL,IND,$610000
Neville Gallimore\GallNe00,DL,DAL,$610000
Alex Highsmith\HighAl02,DL,PIT,$610000
James Proche\ProcJa00,WR,BAL,$610000
Tua Tagovailoa\TagoTu00,QB,MIA,$610000
Jon Runyan\RunyJo00,OL,GNB,$610000
Devin Asiasi\AsiaDe00,TE,NWE,$610000
Zack Moss\MossZa00,RB,BUF,$610000
Phillip Walker\WalkPh00,QB,CAR,$610000
Trevis Gipson\GipsTr00,DL,CHI,$610000
Kenneth Murray\MurrKe00,LB,LAC,$610000
Kyle Dugger\DuggKy00,S,NWE,$610000
Broderick Washington Jr.\WashBr01,DL,BAL,$610000
Hakeem Adeniji\AdenHa00,OL,CIN,$610000
John Penisini\PeniJo00,DL,DET,$610000
Derrick Kelly\KellDe01,T,NOR,$610000
Quintez Cephus\CephQu00,WR,DET,$610000
Anfernee Jennings\JennAn00,LB,NWE,$610000
Josiah Scott\ScotJo00,CB,JAX,$610000
Tristan Wirfs\WirfTr00,OL,TAM,$610000
Dan Chisena\ChisDa00,WR,MIN,$610000
Collin Johnson\JohnCo01,WR,JAX,$610000
Jack Fox\FoxxJa01,P,DET,$610000
John Wolford\WolfJo00,QB,LAR,$610000
Hjalte Froholdt\FrohHj00,OL,NWE,$610000
Cassh Maluia\MaluCa00,LB,NWE,$610000
Tyrie Cleveland\ClevTy00,WR,DEN,$610000
Tyree St. Louis\StLoTy01,T,LAC,$610000
Bradlee Anae\AnaeBr00,DL,DAL,$610000
Tyler Johnson\JohnTy00,WR,TAM,$610000
Ross Blacklock\BlacRo00,DL,HOU,$610000
James Robinson\RobiJa00,RB,JAX,$610000
Keith Ismael\IsmaKe00,OL,WAS,$610000
Tee Higgins\HiggTe00,WR,CIN,$610000
D'Andre Swift\SwifDA00,RB,DET,$610000
Cesar Ruiz\RuizCe00,OL,NOR,$610000
Patrick Queen\QueePa00,LB,BAL,$610000
Kindle Vildor\VildKi00,CB,CHI,$610000
Jonah Jackson\JackJo03,OL,DET,$610000
K.J. Osborn\OsboKJ00,WR,MIN,$610000
Blake Ferguson\FergBl00,LS,MIA,$610000
J.K. Dobbins\DobbJK00,RB,BAL,$610000
Mykal Walker\WalkMy00,LB,ATL,$610000
Malik Taylor\TaylMa01,WR,GNB,$610000
Tevaughn Campbell\CampTe00,DB,LAC,$610000
James Smith-Williams\SmitJa08,DL,WAS,$610000
Markus Bailey\BailMa01,LB,CIN,$610000
Darnay Holmes\HolmDa01,CB,NYG,$610000
Dezmon Patmon\PatmDe00,WR,IND,$610000
Demetrius Flannigan-Fowles\FlanDe00,DB,SFO,$610000
Nick Harris\HarrNi01,OL,CLE,$610000
Penny Hart\HartPe01,WR,SEA,$610000
Cam Akers\AkerCa00,RB,LAR,$610000
La'Mical Perine\PeriLa00,RB,NYJ,$610000
Jeremy Chinn\ChinJe00,S,CAR,$610000
Javon Kinlaw\KinlJa00,DL,SFO,$610000
Jonathan Greenard\GreeJo04,DL,HOU,$610000
Cole Kmet\KmetCo00,TE,CHI,$610000
Ezra Cleveland\ClevEz00,OL,MIN,$610000
Jordan Elliott\ElliJo02,DL,CLE,$610000
Isaiah Simmons\SimmIs00,LB,ARI,$610000
Julian Blackmon\BlacJu01,S,IND,$610000
Michael Ojemudia\OjemMi00,CB,DEN,$610000
Brandon Jones\JoneBr06,S,MIA,$610000
Chris Jackson\JackCh01,S,TEN,$610000
DaVon Hamilton\HamiDa02,DL,JAX,$610000
Josh Jones\JoneJo07,OL,ARI,$610000
Shane Lemieux\LemiSh00,OL,NYG,$610000
Kevin Dotson\DotsKe00,OL,PIT,$610000
Damien Lewis\LewiDa05,OL,SEA,$610000
Jordan Glasgow\GlasJo00,LB,IND,$610000
Jack Driscoll\DrisJa00,OL,PHI,$610000
Maxx Crosby\CrosMa00,EDGE,LVR,$610000
Daniel Thomas\ThomDa07,S,JAX,$610000
Justin Jefferson\JeffJu00,WR,MIN,$610000
Brycen Hopkins\HopkBr01,TE,LAR,$610000
Krys Barnes\BarnKr00,LB,GNB,$610000
Malik Harrison\HarrMa06,LB,BAL,$610000
Matt Peart\PearMa00,OL,NYG,$610000
Devin Duvernay\DuveDe00,WR,BAL,$610000
Kamren Curl\CurlKa00,S,WAS,$610000
Tyler Bass\BassTy00,K,BUF,$610000
Brandon Aiyuk\AiyuBr00,WR,SFO,$610000
Charlie Woerner\WoerCh00,TE,SFO,$610000
Logan Stenberg\StenLo00,OL,DET,$610000
Carlos Davis\DaviCa03,DL,PIT,$610000
Jalen Hurts\HurtJa00,QB,PHI,$610000
Matt Hennessy\HennMa00,OL,ATL,$610000
Khalil Davis\DaviKh00,DL,TAM,$610000
Jason Strowbridge\StroJa02,DL,MIA,$610000
Chase Young\YounCh04,DL,WAS,$610000
Kendal Vickers\VickKe00,DE,LVR,$610000
Raymond Calais\CalaRa00,RB,LAR,$610000
Harrison Hand\HandHa00,CB,MIN,$610000
Jonathan Taylor\TaylJo02,RB,IND,$610000
Sterling Hofrichter\HofrSt00,P,ATL,$610000
AJ Terrell\TerrAJ00,CB,ATL,$610000
Netane Muti\MutiNe00,OL,DEN,$610000
Colton McKivitz\McKiCo00,OL,SFO,$610000
Khaleke Hudson\HudsKh00,LB,WAS,$610000
Jaylinn Hawkins\HawkJa00,S,ATL,$610000
Clyde Edwards-Helaire\EdwaCl00,RB,KAN,$610000
James Lynch\LyncJa00,DL,MIN,$610000
